#TYPE System.Management.Automation.PSCustomObject
"Name","Group"
"tnaushad","UK-DL C grades"
"tnaushad","UK-DL Clara server downtime"
"tnaushad","UK-DL Source Comms B-E"
"tnaushad","UK-DL Source Comms"
"tnaushad","UK-DL S&D Manchester Colleagues"
"tnaushad","UK-DL CR Newsletter"
"tnaushad","UK-SG SCCM Visio 2013 Std Removal Users"
"tnaushad","UK-SG LclAdm-UK-R90FHDK7"
"tnaushad","UK-SG OneDrive Users"
"tnaushad","UK-DL S&D Grade C"
"tnaushad","UK-DL All C Grades"
"tnaushad","UK-DL S&D App Maintenance & Support"
"tnaushad","UK-DL S&D Regions All"
"tnaushad","UK-SG MobileIron Test Group"
"tnaushad","UK-SG AAD GBL - Office 365 Enterprise E3 - SPO"
"tnaushad","UK-SG Intune Exchange Online Outlook Users"
"tnaushad","UK-SG Intune Mobile Users"
"tnaushad","UK-DL ADM Offshore"
"tnaushad","UK-DL TechS Service Delivery"
"tnaushad","UK-SG AAD GBL - Enterprise Mobility Security E3"
"tnaushad","UK-SG AAD GBL - Office 365 Enterprise E3"
"tnaushad","UK-SG SCCM 2012 Dynamics CRM 2016 Install"
"tnaushad","UK-SG SCCM Microsoft Visio Professional 2013"
"tnaushad","UK-SG-Excel-64-Access"
"tnaushad","UK-SG UKNASDATA08_FSShared_admin_firm_reso_MI_ro"
"tnaushad","UK-SG SCCM NavigoFontFix"
"tnaushad","UK-SG Global Delivery Backbone Users"
"tnaushad","UK-SG SCCM Project 2013"
"tnaushad","UK-SG SCCM Microsoft Visio Standard 2013"
"tnaushad","UK-SG SCCM Corporate Tax Compliance Users"
"tnaushad","UK-SG MobileIron ITSNet WiFi Users"
"tnaushad","UK-DL MobileIron Users"
"tnaushad","UK-SG TibbrUser"
"tnaushad","UK-SG Share_Drives_Read_Write_Access"
"tnaushad","UK-SG Share_Drives_Read_Write_Access_Manual_Users"
"tnaushad","UK-DL ALL UK Staff"
